5760 5760
{'x1': 125.0, 'x2': 372.0, 'y1': 1.0, 'y2': 460.0} {'x1': 119.999744, 'x2': 372.999936, 'y1': 8.99993600000002, 'y2': 485.00019199999997}
{'x1': 100.0, 'x2': 341.0, 'y1': 13.0, 'y2': 471.0} {'x1': 93.99987200000001, 'x2': 341.999872, 'y1': 16.0, 'y2': 476.000256}
{'x1': 100.0, 'x2': 341.0, 'y1': 13.0, 'y2': 471.0} {'x1': 96.00025600000001, 'x2': 344.00025600000004, 'y1': 17.99987200000001, 'y2': 478.000128}
{'x1': 101.0, 'x2': 342.0, 'y1': 12.0, 'y2': 470.0} {'x1': 92.000256, 'x2': 336.0, 'y1': 0.0, 'y2': 512.0}
{'x1': 102.0, 'x2': 342.0, 'y1': 12.0, 'y2': 470.0} {'x1': 94.999808, 'x2': 333.999872, 'y1': 8.999935999999991, 'y2': 496.0}
{'x1': 102.0, 'x2': 342.0, 'y1': 12.0, 'y2': 470.0} {'x1': 98.00038400000001, 'x2': 342.000128, 'y1': 17.000192, 'y2': 473.00019199999997}
{'x1': 102.0, 'x2': 342.0, 'y1': 12.0, 'y2': 470.0} {'x1': 96.00000000000001, 'x2': 341.000192, 'y1': 14.999808000000002, 'y2': 477.999872}
{'x1': 102.0, 'x2': 342.0, 'y1': 11.0, 'y2': 470.0} {'x1': 92.99993599999999, 'x2': 340.999936, 'y1': 0.0, 'y2': 512.0}
{'x1': 103.0, 'x2': 342.0, 'y1': 10.0, 'y2': 470.0} {'x1': 96.999936, 'x2': 335.000064, 'y1': 9.000191999999998, 'y2': 495.00032}
{'x1': 103.0, 'x2': 342.0, 'y1': 10.0, 'y2': 470.0} {'x1': 99.00032, 'x2': 341.000192, 'y1': 16.0, 'y2': 471.000064}
{'x1': 103.0, 'x2': 342.0, 'y1': 10.0, 'y2': 470.0} {'x1': 99.00032, 'x2': 341.000192, 'y1': 13.99987200000001, 'y2': 478.99980800000003}
{'x1': 104.0, 'x2': 342.0, 'y1': 10.0, 'y2': 470.0} {'x1': 94.99980800000002, 'x2': 340.999936, 'y1': 1.999871999999982, 'y2': 512.0}
{'x1': 105.0, 'x2': 342.0, 'y1': 9.0, 'y2': 471.0} {'x1': 98.00012799999999, 'x2': 337.00019199999997, 'y1': 8.0, 'y2': 495.000064}
{'x1': 105.0, 'x2': 342.0, 'y1': 9.0, 'y2': 471.0} {'x1': 102.000128, 'x2': 340.000256, 'y1': 16.0, 'y2': 472.999936}
{'x1': 105.0, 'x2': 342.0, 'y1': 9.0, 'y2': 471.0} {'x1': 100.000256, 'x2': 342.000128, 'y1': 11.000064000000009, 'y2': 477.999872}
{'x1': 105.0, 'x2': 343.0, 'y1': 8.0, 'y2': 471.0} {'x1': 99.999744, 'x2': 336.0, 'y1': 0.0, 'y2': 512.0}
{'x1': 106.0, 'x2': 343.0, 'y1': 8.0, 'y2': 472.0} {'x1': 103.999744, 'x2': 340.999936, 'y1': 13.99987200000001, 'y2': 487.99974399999996}
{'x1': 106.0, 'x2': 343.0, 'y1': 8.0, 'y2': 472.0} {'x1': 104.999936, 'x2': 341.000192, 'y1': 12.999680000000012, 'y2': 472.999936}
{'x1': 106.0, 'x2': 343.0, 'y1': 8.0, 'y2': 472.0} {'x1': 100.99993599999999, 'x2': 340.0, 'y1': 8.999935999999991, 'y2': 480.0}
{'x1': 107.0, 'x2': 343.0, 'y1': 7.0, 'y2': 472.0} {'x1': 103.00032, 'x2': 337.000192, 'y1': 0.0, 'y2': 512.0}
{'x1': 108.0, 'x2': 343.0, 'y1': 7.0, 'y2': 472.0} {'x1': 108.00025600000001, 'x2': 341.00019199999997, 'y1': 12.0, 'y2': 484.0}
{'x1': 108.0, 'x2': 343.0, 'y1': 7.0, 'y2': 472.0} {'x1': 103.000064, 'x2': 341.00019199999997, 'y1': 10.999808000000002, 'y2': 471.00006399999995}
{'x1': 108.0, 'x2': 343.0, 'y1': 7.0, 'y2': 472.0} {'x1': 99.99999999999999, 'x2': 342.999808, 'y1': 11.000319999999988, 'y2': 479.000064}
{'x1': 109.0, 'x2': 343.0, 'y1': 6.0, 'y2': 473.0} {'x1': 104.0, 'x2': 336.999936, 'y1': 9.000191999999998, 'y2': 490.000128}
{'x1': 110.0, 'x2': 343.0, 'y1': 5.0, 'y2': 473.0} {'x1': 106.99980799999999, 'x2': 343.000064, 'y1': 12.0, 'y2': 478.999808}
{'x1': 110.0, 'x2': 343.0, 'y1': 5.0, 'y2': 473.0} {'x1': 103.000064, 'x2': 341.00019199999997, 'y1': 10.00012799999999, 'y2': 471.00032}
{'x1': 110.0, 'x2': 343.0, 'y1': 5.0, 'y2': 473.0} {'x1': 101.99987199999998, 'x2': 340.999936, 'y1': 4.999680000000012, 'y2': 480.999936}
{'x1': 111.0, 'x2': 343.0, 'y1': 5.0, 'y2': 474.0} {'x1': 103.99999999999999, 'x2': 338.999808, 'y1': 0.9996799999999837, 'y2': 509.999872}
{'x1': 112.0, 'x2': 343.0, 'y1': 4.0, 'y2': 474.0} {'x1': 110.00012800000002, 'x2': 343.000064, 'y1': 9.000191999999998, 'y2': 481.00019199999997}
{'x1': 112.0, 'x2': 343.0, 'y1': 4.0, 'y2': 474.0} {'x1': 106.000128, 'x2': 340.0, 'y1': 8.0, 'y2': 472.0}
{'x1': 112.0, 'x2': 343.0, 'y1': 4.0, 'y2': 474.0} {'x1': 110.99980800000002, 'x2': 340.999936, 'y1': 5.000192000000027, 'y2': 480.0}
{'x1': 113.0, 'x2': 343.0, 'y1': 4.0, 'y2': 474.0} {'x1': 108.000256, 'x2': 336.0, 'y1': 7.000064000000009, 'y2': 483.00032}
{'x1': 114.0, 'x2': 343.0, 'y1': 3.0, 'y2': 475.0} {'x1': 113.999872, 'x2': 343.000064, 'y1': 8.0, 'y2': 479.000064}
{'x1': 114.0, 'x2': 343.0, 'y1': 3.0, 'y2': 475.0} {'x1': 106.999808, 'x2': 339.99974399999996, 'y1': 8.000256000000007, 'y2': 475.00006399999995}
{'x1': 114.0, 'x2': 343.0, 'y1': 3.0, 'y2': 475.0} {'x1': 112.999936, 'x2': 340.99968, 'y1': 5.9998720000000105, 'y2': 479.99974399999996}
{'x1': 115.0, 'x2': 343.0, 'y1': 3.0, 'y2': 475.0} {'x1': 111.000064, 'x2': 340.000256, 'y1': 8.0, 'y2': 486.000128}
{'x1': 116.0, 'x2': 342.0, 'y1': 2.0, 'y2': 475.0} {'x1': 116.0, 'x2': 340.999936, 'y1': 6.000128000000018, 'y2': 479.000064}
{'x1': 116.0, 'x2': 342.0, 'y1': 2.0, 'y2': 475.0} {'x1': 107.99974399999999, 'x2': 338.99980800000003, 'y1': 8.999935999999991, 'y2': 472.999936}
{'x1': 116.0, 'x2': 342.0, 'y1': 2.0, 'y2': 475.0} {'x1': 116.99993599999999, 'x2': 341.999872, 'y1': 1.9998720000000105, 'y2': 481.999872}
{'x1': 118.0, 'x2': 342.0, 'y1': 2.0, 'y2': 476.0} {'x1': 117.00019200000001, 'x2': 344.999936, 'y1': -0.00025600000000736145, 'y2': 510.99980800000003}
{'x1': 119.0, 'x2': 342.0, 'y1': 1.0, 'y2': 476.0} {'x1': 118.999808, 'x2': 341.999872, 'y1': 6.000128000000018, 'y2': 479.000064}
{'x1': 119.0, 'x2': 342.0, 'y1': 1.0, 'y2': 476.0} {'x1': 116.0, 'x2': 340.999936, 'y1': 7.000064000000009, 'y2': 471.000064}
{'x1': 119.0, 'x2': 342.0, 'y1': 1.0, 'y2': 476.0} {'x1': 120.00000000000001, 'x2': 342.000128, 'y1': 0.0, 'y2': 481.999872}
{'x1': 120.0, 'x2': 342.0, 'y1': 0.0, 'y2': 476.0} {'x1': 116.99968, 'x2': 338.999808, 'y1': 5.000191999999998, 'y2': 488.99993600000005}
{'x1': 122.0, 'x2': 342.0, 'y1': 0.0, 'y2': 477.0} {'x1': 121.00019199999998, 'x2': 339.000064, 'y1': 3.000064000000009, 'y2': 482.000128}
{'x1': 122.0, 'x2': 342.0, 'y1': 0.0, 'y2': 477.0} {'x1': 116.99993599999999, 'x2': 340.0, 'y1': 4.999935999999991, 'y2': 468.0}
{'x1': 122.0, 'x2': 342.0, 'y1': 0.0, 'y2': 477.0} {'x1': 120.999936, 'x2': 341.000192, 'y1': 0.0, 'y2': 485.000192}
{'x1': 123.0, 'x2': 342.0, 'y1': 0.0, 'y2': 477.0} {'x1': 118.00012799999999, 'x2': 342.000128, 'y1': 4.0, 'y2': 497.000192}
{'x1': 125.0, 'x2': 341.0, 'y1': 0.0, 'y2': 477.0} {'x1': 125.000192, 'x2': 340.00025600000004, 'y1': 0.999935999999991, 'y2': 479.000064}
{'x1': 125.0, 'x2': 341.0, 'y1': 0.0, 'y2': 477.0} {'x1': 117.000192, 'x2': 341.00019199999997, 'y1': 2.000383999999997, 'y2': 470.000128}
{'x1': 125.0, 'x2': 341.0, 'y1': 0.0, 'y2': 477.0} {'x1': 124.999936, 'x2': 339.000064, 'y1': 2.0001279999999895, 'y2': 481.00019199999997}
{'x1': 126.0, 'x2': 341.0, 'y1': 0.0, 'y2': 478.0} {'x1': 124.00000000000001, 'x2': 338.000128, 'y1': 3.000064000000009, 'y2': 492.999936}
{'x1': 127.0, 'x2': 341.0, 'y1': 0.0, 'y2': 478.0} {'x1': 127.000064, 'x2': 338.999808, 'y1': 1.0001919999999984, 'y2': 482.000128}
{'x1': 127.0, 'x2': 341.0, 'y1': 0.0, 'y2': 478.0} {'x1': 121.00019199999998, 'x2': 339.000064, 'y1': 3.000064000000009, 'y2': 468.0}
{'x1': 127.0, 'x2': 341.0, 'y1': 0.0, 'y2': 478.0} {'x1': 128.999936, 'x2': 336.999936, 'y1': 0.999935999999991, 'y2': 480.999936}
{'x1': 129.0, 'x2': 340.0, 'y1': 0.0, 'y2': 478.0} {'x1': 123.999744, 'x2': 336.999936, 'y1': 4.000256000000007, 'y2': 500.00025600000004}
{'x1': 131.0, 'x2': 340.0, 'y1': 0.0, 'y2': 478.0} {'x1': 130.999808, 'x2': 338.99980800000003, 'y1': 0.00025600000000736145, 'y2': 481.00019199999997}
{'x1': 131.0, 'x2': 340.0, 'y1': 0.0, 'y2': 478.0} {'x1': 127.99999999999999, 'x2': 337.999872, 'y1': 6.0001279999999895, 'y2': 468.00025600000004}
{'x1': 131.0, 'x2': 340.0, 'y1': 0.0, 'y2': 478.0} {'x1': 130.00012800000002, 'x2': 340.999936, 'y1': 3.000064000000009, 'y2': 482.000128}
{'x1': 132.0, 'x2': 340.0, 'y1': 0.0, 'y2': 479.0} {'x1': 129.99987199999998, 'x2': 336.0, 'y1': 1.0001919999999984, 'y2': 489.00019199999997}
{'x1': 134.0, 'x2': 339.0, 'y1': 0.0, 'y2': 479.0} {'x1': 134.00012800000002, 'x2': 338.000384, 'y1': 0.00025600000000736145, 'y2': 481.00019199999997}
{'x1': 134.0, 'x2': 339.0, 'y1': 0.0, 'y2': 479.0} {'x1': 134.00012800000002, 'x2': 338.000384, 'y1': 10.00012799999999, 'y2': 473.00019199999997}
{'x1': 134.0, 'x2': 339.0, 'y1': 0.0, 'y2': 479.0} {'x1': 132.0, 'x2': 339.000064, 'y1': 5.999616000000003, 'y2': 481.999872}
{'x1': 135.0, 'x2': 339.0, 'y1': 0.0, 'y2': 479.0} {'x1': 135.000064, 'x2': 336.0, 'y1': 3.000064000000009, 'y2': 492.999936}
{'x1': 137.0, 'x2': 338.0, 'y1': 0.0, 'y2': 479.0} {'x1': 136.999936, 'x2': 337.999872, 'y1': 1.999871999999982, 'y2': 480.0}
{'x1': 137.0, 'x2': 338.0, 'y1': 0.0, 'y2': 479.0} {'x1': 134.00012800000002, 'x2': 338.000384, 'y1': 9.99987200000001, 'y2': 475.99974399999996}
{'x1': 137.0, 'x2': 338.0, 'y1': 0.0, 'y2': 479.0} {'x1': 133.99987199999998, 'x2': 335.999744, 'y1': 5.000192000000027, 'y2': 480.0}
{'x1': 139.0, 'x2': 338.0, 'y1': 0.0, 'y2': 480.0} {'x1': 136.999936, 'x2': 334.000128, 'y1': 0.9996799999999837, 'y2': 486.99980800000003}
{'x1': 141.0, 'x2': 337.0, 'y1': 0.0, 'y2': 480.0} {'x1': 141.99987199999998, 'x2': 336.99968, 'y1': 0.0, 'y2': 478.000128}
{'x1': 141.0, 'x2': 337.0, 'y1': 0.0, 'y2': 480.0} {'x1': 136.999936, 'x2': 336.0, 'y1': 5.999616000000003, 'y2': 481.999872}
{'x1': 141.0, 'x2': 337.0, 'y1': 0.0, 'y2': 480.0} {'x1': 140.0, 'x2': 332.999936, 'y1': 1.9998720000000105, 'y2': 483.99974399999996}
{'x1': 142.0, 'x2': 337.0, 'y1': 0.0, 'y2': 480.0} {'x1': 142.000128, 'x2': 334.000128, 'y1': 0.0, 'y2': 488.999936}
{'x1': 144.0, 'x2': 336.0, 'y1': 0.0, 'y2': 480.0} {'x1': 145.000192, 'x2': 336.00025600000004, 'y1': 0.00025600000000736145, 'y2': 481.00019199999997}
{'x1': 144.0, 'x2': 336.0, 'y1': 0.0, 'y2': 480.0} {'x1': 141.00019200000003, 'x2': 336.999936, 'y1': 0.00025600000000736145, 'y2': 490.000128}
{'x1': 144.0, 'x2': 336.0, 'y1': 0.0, 'y2': 480.0} {'x1': 143.000064, 'x2': 328.0, 'y1': 0.0, 'y2': 485.000192}
{'x1': 146.0, 'x2': 336.0, 'y1': 0.0, 'y2': 480.0} {'x1': 145.99987199999998, 'x2': 332.99968, 'y1': 0.0, 'y2': 483.999744}
{'x1': 148.0, 'x2': 335.0, 'y1': 0.0, 'y2': 481.0} {'x1': 150.000128, 'x2': 333.00019199999997, 'y1': 0.00025600000000736145, 'y2': 481.00019199999997}
{'x1': 148.0, 'x2': 335.0, 'y1': 0.0, 'y2': 481.0} {'x1': 145.99987199999998, 'x2': 334.000128, 'y1': 1.0001919999999984, 'y2': 489.00019199999997}
{'x1': 148.0, 'x2': 335.0, 'y1': 0.0, 'y2': 481.0} {'x1': 147.999744, 'x2': 330.99980800000003, 'y1': 0.0, 'y2': 485.000192}
{'x1': 150.0, 'x2': 334.0, 'y1': 0.0, 'y2': 481.0} {'x1': 149.000192, 'x2': 332.00025600000004, 'y1': 0.0, 'y2': 481.999872}
{'x1': 152.0, 'x2': 334.0, 'y1': 0.0, 'y2': 481.0} {'x1': 151.99974400000002, 'x2': 333.999872, 'y1': -0.00025600000000736145, 'y2': 485.999872}
{'x1': 152.0, 'x2': 334.0, 'y1': 0.0, 'y2': 481.0} {'x1': 148.999936, 'x2': 332.999936, 'y1': 1.0001919999999984, 'y2': 489.00019199999997}
{'x1': 152.0, 'x2': 334.0, 'y1': 0.0, 'y2': 481.0} {'x1': 154.00012800000002, 'x2': 332.999936, 'y1': -0.00025600000000736145, 'y2': 485.999872}
{'x1': 153.0, 'x2': 333.0, 'y1': 0.0, 'y2': 481.0} {'x1': 152.999936, 'x2': 330.99980800000003, 'y1': 0.0, 'y2': 480.0}
{'x1': 155.0, 'x2': 332.0, 'y1': 0.0, 'y2': 481.0} {'x1': 155.99974400000002, 'x2': 329.999872, 'y1': 0.00025600000000736145, 'y2': 490.000128}
{'x1': 155.0, 'x2': 332.0, 'y1': 0.0, 'y2': 481.0} {'x1': 155.000064, 'x2': 332.0, 'y1': 0.0, 'y2': 487.000064}
{'x1': 155.0, 'x2': 332.0, 'y1': 0.0, 'y2': 481.0} {'x1': 156.0, 'x2': 331.000064, 'y1': 1.0001919999999984, 'y2': 482.000128}
{'x1': 157.0, 'x2': 332.0, 'y1': 0.0, 'y2': 481.0} {'x1': 157.999616, 'x2': 329.999872, 'y1': 0.0, 'y2': 481.999872}
{'x1': 159.0, 'x2': 331.0, 'y1': 0.0, 'y2': 481.0} {'x1': 159.000064, 'x2': 331.00032, 'y1': -0.00025600000000736145, 'y2': 492.99993600000005}
{'x1': 159.0, 'x2': 331.0, 'y1': 0.0, 'y2': 481.0} {'x1': 157.99987199999998, 'x2': 331.000064, 'y1': 0.00025600000000736145, 'y2': 490.000128}
{'x1': 159.0, 'x2': 331.0, 'y1': 0.0, 'y2': 481.0} {'x1': 161.000192, 'x2': 329.00019199999997, 'y1': 0.0, 'y2': 485.000192}
{'x1': 161.0, 'x2': 330.0, 'y1': 0.0, 'y2': 481.0} {'x1': 160.999936, 'x2': 329.999872, 'y1': 0.0, 'y2': 485.000192}
{'x1': 163.0, 'x2': 329.0, 'y1': 0.0, 'y2': 481.0} {'x1': 164.0, 'x2': 330.000128, 'y1': 0.0, 'y2': 490.999808}
{'x1': 163.0, 'x2': 329.0, 'y1': 0.0, 'y2': 481.0} {'x1': 163.000064, 'x2': 329.00019199999997, 'y1': 0.0, 'y2': 490.999808}
{'x1': 163.0, 'x2': 329.0, 'y1': 0.0, 'y2': 481.0} {'x1': 163.000064, 'x2': 325.999872, 'y1': 0.0, 'y2': 485.000192}
{'x1': 165.0, 'x2': 328.0, 'y1': 0.0, 'y2': 481.0} {'x1': 162.99980799999997, 'x2': 328.0, 'y1': 0.0, 'y2': 481.999872}
{'x1': 167.0, 'x2': 327.0, 'y1': 0.0, 'y2': 482.0} {'x1': 166.00012800000002, 'x2': 328.0, 'y1': 0.0, 'y2': 488.999936}
{'x1': 167.0, 'x2': 327.0, 'y1': 0.0, 'y2': 482.0} {'x1': 165.00019199999997, 'x2': 327.000064, 'y1': -0.00025600000000736145, 'y2': 487.99974399999996}
{'x1': 167.0, 'x2': 327.0, 'y1': 0.0, 'y2': 482.0} {'x1': 164.999936, 'x2': 324.0, 'y1': 0.0, 'y2': 490.999808}
{'x1': 169.0, 'x2': 327.0, 'y1': 0.0, 'y2': 482.0} {'x1': 166.000128, 'x2': 326.000128, 'y1': 0.0, 'y2': 481.999872}
{'x1': 171.0, 'x2': 326.0, 'y1': 0.0, 'y2': 482.0} {'x1': 165.00019199999997, 'x2': 327.000064, 'y1': 0.0, 'y2': 490.999808}
{'x1': 171.0, 'x2': 326.0, 'y1': 0.0, 'y2': 482.0} {'x1': 167.99974400000002, 'x2': 324.999936, 'y1': 3.000064000000009, 'y2': 485.999872}
{'x1': 171.0, 'x2': 326.0, 'y1': 0.0, 'y2': 482.0} {'x1': 168.999936, 'x2': 321.999872, 'y1': 0.0, 'y2': 487.000064}
{'x1': 173.0, 'x2': 325.0, 'y1': 0.0, 'y2': 482.0} {'x1': 171.00032, 'x2': 326.000128, 'y1': 4.000256000000007, 'y2': 479.00006399999995}
{'x1': 175.0, 'x2': 324.0, 'y1': 0.0, 'y2': 482.0} {'x1': 170.99980799999997, 'x2': 327.000064, 'y1': 0.0, 'y2': 487.000064}
{'x1': 175.0, 'x2': 324.0, 'y1': 0.0, 'y2': 482.0} {'x1': 169.99987199999998, 'x2': 328.0, 'y1': 1.0001920000000268, 'y2': 484.0}
{'x1': 175.0, 'x2': 324.0, 'y1': 0.0, 'y2': 482.0} {'x1': 176.999936, 'x2': 319.000064, 'y1': -0.00025600000000736145, 'y2': 487.99974399999996}
{'x1': 177.0, 'x2': 323.0, 'y1': 0.0, 'y2': 482.0} {'x1': 176.0, 'x2': 321.999872, 'y1': -0.00025600000000736145, 'y2': 476.99993600000005}
{'x1': 179.0, 'x2': 322.0, 'y1': 0.0, 'y2': 482.0} {'x1': 176.999936, 'x2': 320.999936, 'y1': -0.00025600000000736145, 'y2': 487.99974399999996}
{'x1': 179.0, 'x2': 322.0, 'y1': 0.0, 'y2': 482.0} {'x1': 174.00012800000002, 'x2': 330.000384, 'y1': 0.0, 'y2': 483.999744}
{'x1': 179.0, 'x2': 322.0, 'y1': 0.0, 'y2': 482.0} {'x1': 178.000128, 'x2': 321.00019199999997, 'y1': -0.00025600000000736145, 'y2': 487.99974399999996}
{'x1': 181.0, 'x2': 321.0, 'y1': 0.0, 'y2': 482.0} {'x1': 180.0, 'x2': 321.000192, 'y1': 0.0, 'y2': 472.999936}
{'x1': 183.0, 'x2': 320.0, 'y1': 0.0, 'y2': 482.0} {'x1': 181.00019200000003, 'x2': 320.0, 'y1': 0.0, 'y2': 488.999936}
{'x1': 183.0, 'x2': 320.0, 'y1': 0.0, 'y2': 482.0} {'x1': 177.00019200000003, 'x2': 327.00032, 'y1': 2.000128000000018, 'y2': 484.999936}
{'x1': 183.0, 'x2': 320.0, 'y1': 0.0, 'y2': 482.0} {'x1': 180.00025599999998, 'x2': 319.000064, 'y1': -0.00025600000000736145, 'y2': 487.99974399999996}
{'x1': 185.0, 'x2': 319.0, 'y1': 0.0, 'y2': 482.0} {'x1': 182.99980800000003, 'x2': 316.999936, 'y1': 5.000191999999998, 'y2': 467.00032}
{'x1': 185.0, 'x2': 318.0, 'y1': 0.0, 'y2': 482.0} {'x1': 182.99980800000003, 'x2': 316.999936, 'y1': 0.0, 'y2': 488.999936}
{'x1': 185.0, 'x2': 318.0, 'y1': 0.0, 'y2': 482.0} {'x1': 181.99987199999998, 'x2': 333.999872, 'y1': 0.0, 'y2': 483.999744}
{'x1': 185.0, 'x2': 318.0, 'y1': 0.0, 'y2': 482.0} {'x1': 183.000064, 'x2': 318.000128, 'y1': 1.0001920000000268, 'y2': 484.0}
{'x1': 186.0, 'x2': 317.0, 'y1': 0.0, 'y2': 482.0} {'x1': 189.000192, 'x2': 317.00019199999997, 'y1': 6.999808000000002, 'y2': 453.999872}
{'x1': 188.0, 'x2': 315.0, 'y1': 0.0, 'y2': 482.0} {'x1': 185.99987199999998, 'x2': 315.999744, 'y1': 0.0, 'y2': 488.999936}
{'x1': 188.0, 'x2': 315.0, 'y1': 0.0, 'y2': 482.0} {'x1': 184.999936, 'x2': 321.999872, 'y1': 0.0, 'y2': 487.000064}
{'x1': 188.0, 'x2': 315.0, 'y1': 0.0, 'y2': 482.0} {'x1': 190.99980799999997, 'x2': 316.0, 'y1': 0.999935999999991, 'y2': 480.999936}
{'x1': 189.0, 'x2': 314.0, 'y1': 0.0, 'y2': 482.0} {'x1': 192.0, 'x2': 316.000256, 'y1': 12.0, 'y2': 460.999936}
{'x1': 190.0, 'x2': 313.0, 'y1': 0.0, 'y2': 482.0} {'x1': 193.000192, 'x2': 315.000064, 'y1': 3.000064000000009, 'y2': 485.999872}
{'x1': 190.0, 'x2': 313.0, 'y1': 0.0, 'y2': 482.0} {'x1': 190.000128, 'x2': 316.000256, 'y1': 0.0, 'y2': 483.999744}
{'x1': 190.0, 'x2': 313.0, 'y1': 0.0, 'y2': 482.0} {'x1': 196.999936, 'x2': 315.000064, 'y1': 0.00025600000000736145, 'y2': 483.00006399999995}
{'x1': 191.0, 'x2': 312.0, 'y1': 0.0, 'y2': 482.0} {'x1': 192.999936, 'x2': 315.999744, 'y1': 13.999871999999982, 'y2': 460.999936}
{'x1': 192.0, 'x2': 311.0, 'y1': 0.0, 'y2': 482.0} {'x1': 195.000064, 'x2': 316.999936, 'y1': 0.9996799999999837, 'y2': 486.99980800000003}
{'x1': 192.0, 'x2': 311.0, 'y1': 0.0, 'y2': 482.0} {'x1': 194.000128, 'x2': 321.00019199999997, 'y1': -0.00025600000000736145, 'y2': 485.999872}
{'x1': 192.0, 'x2': 311.0, 'y1': 0.0, 'y2': 482.0} {'x1': 202.000128, 'x2': 313.00019199999997, 'y1': 1.0001919999999984, 'y2': 482.000128}
{'x1': 193.0, 'x2': 310.0, 'y1': 0.0, 'y2': 482.0} {'x1': 192.999936, 'x2': 315.999744, 'y1': 6.999808000000002, 'y2': 462.99980800000003}
{'x1': 194.0, 'x2': 308.0, 'y1': 0.0, 'y2': 481.0} {'x1': 199.000064, 'x2': 311.000064, 'y1': 8.0, 'y2': 480.999936}
{'x1': 194.0, 'x2': 308.0, 'y1': 0.0, 'y2': 481.0} {'x1': 197.99987199999998, 'x2': 317.999872, 'y1': 3.000064000000009, 'y2': 482.000128}
{'x1': 194.0, 'x2': 308.0, 'y1': 0.0, 'y2': 481.0} {'x1': 203.000064, 'x2': 312.000256, 'y1': 4.0, 'y2': 477.999872}
{'x1': 196.0, 'x2': 308.0, 'y1': 0.0, 'y2': 481.0} {'x1': 198.000128, 'x2': 313.999872, 'y1': 4.999935999999991, 'y2': 468.0}
{'x1': 197.0, 'x2': 307.0, 'y1': 0.0, 'y2': 481.0} {'x1': 202.99980799999997, 'x2': 312.999936, 'y1': 3.000064000000009, 'y2': 482.000128}
{'x1': 197.0, 'x2': 307.0, 'y1': 0.0, 'y2': 481.0} {'x1': 202.99980799999997, 'x2': 314.999808, 'y1': 0.00025600000000736145, 'y2': 483.00006399999995}
{'x1': 197.0, 'x2': 307.0, 'y1': 0.0, 'y2': 481.0} {'x1': 206.99980799999997, 'x2': 308.999936, 'y1': 1.0001919999999984, 'y2': 480.00025600000004}
{'x1': 198.0, 'x2': 307.0, 'y1': 0.0, 'y2': 481.0} {'x1': 206.000128, 'x2': 311.000064, 'y1': 4.999679999999984, 'y2': 473.999872}
{'x1': 199.0, 'x2': 306.0, 'y1': 0.0, 'y2': 481.0} {'x1': 207.000064, 'x2': 308.000256, 'y1': 2.9998080000000016, 'y2': 479.00006399999995}
{'x1': 199.0, 'x2': 306.0, 'y1': 0.0, 'y2': 481.0} {'x1': 207.99974400000002, 'x2': 311.999744, 'y1': -0.00025600000000736145, 'y2': 478.99980800000003}
{'x1': 199.0, 'x2': 306.0, 'y1': 0.0, 'y2': 481.0} {'x1': 208.99993599999996, 'x2': 308.99967999999996, 'y1': -0.00025600000000736145, 'y2': 478.99980800000003}
